county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
rich county,utah,2752,6.1,26.6,20.5,96.7,0.8,0.8,0.3,0.1,4.9,80.4,291200,3.1,6.4,95.5,24.5,12.3,76875,29074,2.4
salt lake county,utah,1216274,6,24,12.5,85.3,2.6,1.6,5.3,1.9,21.9,67,484500,2.8,21.2,91.7,38.6,10,94658,43393,1597.2
san juan county,utah,14601,6.4,28.1,15.9,50.4,0.5,45.8,0.6,0.1,6.4,79.8,189900,3,36.5,87.7,20.2,11.2,54890,24634,1.9
sanpete county,utah,30732,5.9,23.1,14.7,93.1,1.5,1.7,1,0.6,11.3,76.5,300400,3,10.8,90.7,23.2,12.3,67459,26663,17.9
sevier county,utah,22520,6.2,26.6,17.5,95.4,0.6,1.6,0.4,0.3,5.6,79.9,274100,2.9,3.8,92.7,23.1,10.4,73765,30447,11.3
summit county,utah,43109,4.9,21.4,17.2,93.7,1.1,0.7,2.5,0.2,12.2,80.4,1000400,2.9,14.9,95,58.1,8.3,137058,74755,22.6
tooele county,utah,84488,7,29.8,9.6,92,1.4,1.4,1.1,1.3,16.6,82.6,391300,3.3,11.2,92.7,23.2,7.6,101846,37365,10.5
uintah county,utah,38307,6.9,29.6,12.9,88.3,0.7,7,1,0.4,9.6,72,270200,3,5.5,89.3,16.8,13,69861,30586,7.9
utah county,utah,747234,8.1,30.4,8.1,91,1.2,1,2.3,1.1,15.8,68.1,489200,3.4,15.9,95.4,43.8,7.4,96877,35091,329.0
wasatch county,utah,37858,5.3,27,15,94.4,0.8,0.7,1.9,0.3,15.4,78.9,724400,3,16.2,95.6,47.7,8.9,115146,54096,29.6
washington county,utah,207943,5.7,23.7,22.5,92.4,1,1.7,1.3,0.9,12.8,72.6,465600,2.8,10.9,94.3,33.3,11.4,76411,37962,74.3
wayne county,utah,2608,6.2,22.5,24.6,94.5,0.6,1,1.4,0.2,5.1,75.8,364800,2.3,6.3,95.7,25.2,12.4,70074,34710,1.0
weber county,utah,276118,6.4,25.6,13,91.2,1.9,1.5,1.9,0.5,20,74.6,389200,2.9,14.3,92.3,28,9.6,87083,37055,455.0
anderson county,texas,59512,4.8,18.9,15.8,73.5,22.1,0.8,1.1,0.2,20,70,173400,2.7,14.4,86,14.5,18.8,58846,25793,54.5
