county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
mason county,washington,19.3,25.2,81.1,377400,2.6,10,22,9.8,38685,68.5,19.3,44.5,14,14.1,Medium Risk: Older White Homeowner Communities
okanogan county,washington,21.1,23.8,71.7,284200,2.4,18,24,15.7,31905,8,16.4,44.9,19.4,23,Medium Risk: Older White Homeowner Communities
pacific county,washington,14.2,35.3,81.2,274000,2.2,9.2,23.4,9.3,40128,25,23.4,49.5,10.5,10.5,Medium Risk: Older White Homeowner Communities
pend oreille county,washington,19.6,27.9,77.2,307800,2.4,1.9,20.3,7.7,35660,9.6,21.5,47.5,10,4.4,Medium Risk: Older White Homeowner Communities
pierce county,washington,22.5,15.5,64.8,484400,2.6,15.8,30.1,7.1,45885,552.2,13.7,38,28.9,13.5,Low Risk: Educated Urban Communities
san juan county,washington,12.2,38,77.8,726500,2,6.6,53.4,9.4,63173,102.3,11.9,50.2,6.9,8,Low Risk: Educated Urban Communities
skagit county,washington,20.4,23.6,70.6,486200,2.5,16.2,29.1,9.1,43158,74.9,14.9,44,10.9,20.3,Medium Risk: Older White Homeowner Communities
skamania county,washington,16.3,26.4,80.6,472600,2.5,6.4,28.2,7.2,44514,7.3,13.8,42.7,9.1,6.9,Medium Risk: Older White Homeowner Communities
snohomish county,washington,21.6,15.5,68.4,644600,2.6,23.7,36.8,7.1,51836,396.8,12,37.1,28.7,12.7,Low Risk: Educated Urban Communities
spokane county,washington,21.1,18.2,63.9,370500,2.5,7.5,32.1,6.6,39879,305.7,15.6,39.3,12.6,7.5,Low Risk: Educated Urban Communities
stevens county,washington,20.5,26.5,79.2,308000,2.5,3.7,21.8,8.5,35577,18.7,18.3,47,10.9,4.6,Medium Risk: Older White Homeowner Communities
thurston county,washington,20.3,19.6,67.8,451500,2.5,12.3,37.2,6.1,44646,408,15.2,39.9,21,11.3,Low Risk: Educated Urban Communities
wahkiakum county,washington,15.7,35.3,84.8,344500,2.2,5,22.3,10.2,32879,16.8,19,51,9.5,5.5,Medium Risk: Older White Homeowner Communities
walla walla county,washington,20.1,20.6,65.9,375600,2.5,18.6,30.1,9.1,37562,49.3,15.1,40.7,9.3,24.9,Low Risk: Educated Urban Communities
whatcom county,washington,17.7,19.6,63.5,536100,2.4,12.7,38.1,7.2,43463,107.6,13.6,37.3,15,11.2,Low Risk: Educated Urban Communities
whitman county,washington,15.6,12.2,46.6,323300,2.3,11.3,50.2,7.7,31884,22.2,13.1,27.8,17.5,8.1,Low Risk: Educated Urban Communities
yakima county,washington,28.2,14.9,62.4,281100,2.9,42.6,18.9,14.4,29309,59.8,13.7,43.1,14,54,Extreme Risk: Hispanic Immigrant Communities
york county,virginia,22.4,18.9,71.6,433200,2.58,10.8,50,5,52374,669,12.3,41.3,26.8,8.3,Low Risk: Educated Urban Communities
wythe county,virginia,19.3,23.1,77,171200,2.23,2.5,19.4,7.5,34875,61.2,19.7,42.4,5.5,1.8,Medium Risk: Older White Homeowner Communities
wise county,virginia,19.3,20.5,74.2,118600,2.33,1.9,15.8,8.6,25953,89.6,27,39.8,8.3,1.7,Medium Risk: Older White Homeowner Communities
winchester city,virginia,22.5,16.7,43.6,343000,2.33,19.6,31.3,14.6,36588,3058.8,13.8,39.2,37.7,21,Low Risk: Educated Urban Communities
williamsburg city,virginia,10.5,17.5,53.2,428100,2.19,14.8,45.8,7.2,37442,1725.8,9.7,28,31.9,8.3,Low Risk: Educated Urban Communities
westmoreland county,virginia,17.7,28.2,80.1,269600,2.3,7.1,22.5,10.6,39344,80.6,18.1,45.9,30.4,7.1,Medium Risk: Older White Homeowner Communities
waynesboro city,virginia,22.4,17.9,59.9,245500,2.3,9.8,25.7,12.4,32636,1482.7,19.8,40.3,26,9.7,Low Risk: Educated Urban Communities
washington county,virginia,17.5,25.5,75.8,214000,2.38,3.2,26.7,7.6,38757,96.1,21.5,43,3.9,2.1,Medium Risk: Older White Homeowner Communities
warren county,virginia,21.6,17.9,75.9,348400,2.65,6.9,25,8.8,40091,189.8,14.8,39.5,11.4,8.7,Medium Risk: Older White Homeowner Communities
virginia beach city,virginia,21.9,15.9,65.1,382500,2.49,12.2,40.9,7.5,48736,1877.5,11.7,37.8,39.2,9.1,Low Risk: Educated Urban Communities
tazewell county,virginia,18.7,24.3,74.4,118300,2.33,2.5,16.6,8.8,29519,77.9,20.2,43,6.3,1.5,Medium Risk: Older White Homeowner Communities
sussex county,virginia,16.1,19.9,69.7,183800,2.41,1.9,16.5,7.8,30317,22.1,18,36,56,3.9,High Risk: Rural Minority Communities
surry county,virginia,17.2,26.9,79.5,238800,2.31,2.5,27.1,6.8,41994,23.5,17.5,44.1,41.4,3.7,High Risk: Rural Minority Communities
suffolk city,virginia,23.6,15.3,70.7,347400,2.58,6.3,33.3,7.6,45819,236.3,12.6,38.9,53.5,5.2,Low Risk: Educated Urban Communities
staunton city,virginia,19.3,21.3,60.9,259200,2.14,5.5,37.7,8.1,36608,1292.7,15.4,40.6,20.7,4.8,Low Risk: Educated Urban Communities
stafford county,virginia,26,12.1,80.5,485100,3.05,18.9,43.8,6.4,53157,582.9,9,38.1,34.1,17.8,Low Risk: Educated Urban Communities
spotsylvania county,virginia,24,16,80.1,404900,2.79,14.5,34.9,7.5,48118,348.8,10.6,40,28.5,14.8,Low Risk: Educated Urban Communities
southampton county,virginia,17.8,23.3,76.1,216200,2.41,2.9,20.1,6.5,34045,30,19,41.1,35.9,2.9,High Risk: Rural Minority Communities
smyth county,virginia,19.2,23.1,71,139600,2.26,2.2,16.8,8.2,30460,66,21.5,42.3,4.5,2.3,Medium Risk: Older White Homeowner Communities
shenandoah county,virginia,20.6,22.8,73.3,294900,2.48,9.3,21.6,9.3,36615,87,16.9,43.4,8,9.8,Medium Risk: Older White Homeowner Communities
scott county,virginia,17.9,26.1,77,143000,2.27,1.4,15.6,7.7,28852,40.3,29.3,44,3,1.8,Medium Risk: Older White Homeowner Communities
salem city,virginia,19.5,19.6,62.8,258600,2.28,4.8,33,5.3,39370,1746.2,12.4,39.1,17.5,4.8,Low Risk: Educated Urban Communities
russell county,virginia,19.1,25,76.3,120600,2.36,0.8,13.1,8.7,29997,54.4,32.4,44.1,2.9,0.8,Medium Risk: Older White Homeowner Communities
rockingham county,virginia,21.9,20.7,75.3,313000,2.56,10.2,29,9.7,41361,98.6,13,42.6,7.8,10.3,Medium Risk: Older White Homeowner Communities
rockbridge county,virginia,15.9,29,79.3,248800,2.31,2.4,32.8,7.4,38899,38,17.7,44.9,7.3,2.5,Medium Risk: Older White Homeowner Communities
roanoke city,virginia,22.6,17.8,52.4,190500,2.22,10.9,30,11.6,36576,2352,14,40.4,43.2,9,Low Risk: Educated Urban Communities
roanoke county,virginia,19,22.9,75.7,286000,2.39,8.8,37.1,5.7,45801,386.9,13.7,41.9,14,4.6,Low Risk: Educated Urban Communities
richmond city,virginia,17.5,14.1,43.5,353000,2.1,12.1,45.6,10.2,45790,3781.6,14,31.6,57.2,10.7,Low Risk: Educated Urban Communities
richmond county,virginia,18.2,21.8,74.7,231500,2.35,5.3,16.9,11.1,29974,46.6,16.8,40,33.3,8.4,High Risk: Rural Minority Communities
rappahannock county,virginia,16.5,30.1,73.4,506400,2.48,4.6,33.3,10.2,56313,27.6,12.6,46.6,8.3,5.7,Medium Risk: Older White Homeowner Communities
radford city,virginia,12.5,9.6,42.3,220700,2.46,3.7,37.9,5.4,26815,1660.8,12,22.1,17.6,4.4,Low Risk: Educated Urban Communities
pulaski county,virginia,17.6,24.1,73.4,191700,2.26,2.6,20.8,6.3,37242,105.7,19.5,41.7,8.2,2.4,Medium Risk: Older White Homeowner Communities
prince william county,virginia,25.8,12.3,74.3,530100,3.09,36.5,44.9,9,51802,1438.3,8.7,38.1,39.8,26.8,Low Risk: Educated Urban Communities
prince george county,virginia,19.3,13.9,74.3,293400,2.7,10,25,6.4,34239,162.1,12.5,33.2,40.1,10.9,Low Risk: Educated Urban Communities
prince edward county,virginia,15.8,17.3,58,216600,2.28,4.4,27.3,7.9,27082,62.4,15.2,33.1,36.2,4.9,High Risk: Rural Minority Communities
powhatan county,virginia,18.5,21.2,93.2,416000,2.67,5.8,35,6.5,49923,116.6,10.1,39.7,11.5,3.2,Low Risk: Educated Urban Communities
portsmouth city,virginia,23,15.5,57.9,246900,2.34,5.3,24.3,8.6,33568,2940.3,15.9,38.5,63.8,5.4,High Risk: Rural Minority Communities
poquoson city,virginia,23,19.6,84.6,400300,2.66,4.1,36.3,2.8,51194,811.4,10.7,42.6,9.9,4.2,Low Risk: Educated Urban Communities
pittsylvania county,virginia,17.4,26,78.7,161400,2.34,2.8,16.1,8.4,30435,62.4,20.2,43.4,23.9,3.4,Medium Risk: Older White Homeowner Communities
petersburg city,virginia,23.9,16.8,38.6,189000,2.18,8.1,25.4,7.8,29418,1472.6,21.8,40.7,84.8,6.5,High Risk: Rural Minority Communities
patrick county,virginia,17,28.4,76.9,153400,2.2,3.1,15.1,8.4,33370,36.5,21.3,45.4,8,3.8,Medium Risk: Older White Homeowner Communities
page county,virginia,19.2,23,71.8,233200,2.37,3.6,15.2,9.4,32435,76.5,18.8,42.2,5.6,3,Medium Risk: Older White Homeowner Communities
orange county,virginia,22,21.1,78.7,364200,2.51,6.6,29.6,7.8,44923,106.3,15.1,43.1,18.9,7.9,Low Risk: Educated Urban Communities
nottoway county,virginia,19.2,19.2,66.6,167500,2.32,4.6,14.1,9.2,26253,49.8,19,38.4,41.8,5.1,High Risk: Rural Minority Communities
norton city,virginia,22.1,18.1,50,110000,2.2,2.6,13.7,5.5,26846,493.1,30.5,40.2,12.3,2.4,Medium Risk: Older White Homeowner Communities
northumberland county,virginia,13.6,38.9,86.1,346800,2.16,5.9,33.6,9.5,45438,61.8,14.7,52.5,26.6,4,Medium Risk: Older White Homeowner Communities
northampton county,virginia,17.4,32.1,66.1,316200,2.17,9.8,32,9.8,44222,58,19.4,49.5,34.4,10,Medium Risk: Older White Homeowner Communities
norfolk city,virginia,20.3,13,46.3,289900,2.25,11.8,33.5,10.4,39457,4467.5,14.8,33.3,56.8,10.1,Low Risk: Educated Urban Communities
newport news city,virginia,23,14.9,48.2,260600,2.33,10.7,30.6,8.3,38773,2699.7,14.6,37.9,53,11.4,Low Risk: Educated Urban Communities
new kent county,virginia,19.4,19.3,92.6,393600,2.63,4.7,38.4,6.7,52739,109.2,11,38.7,21.4,4.5,Low Risk: Educated Urban Communities
nelson county,virginia,17.7,30.8,79.7,321700,2.3,6.2,36.3,10.5,45844,31.4,13.6,48.5,15.5,4.9,Medium Risk: Older White Homeowner Communities
montgomery county,virginia,15.1,14.8,55.3,304600,2.39,10.9,48.8,6.7,38426,257.8,10.5,29.9,14.9,4.8,Low Risk: Educated Urban Communities
middlesex county,virginia,16.8,34.1,87.4,352200,2.19,3.3,33.8,10.2,41083,81.5,20,50.9,20,3.9,Medium Risk: Older White Homeowner Communities
mecklenburg county,virginia,18.4,27.7,68.3,192600,2.17,4.1,20.7,9.7,36701,48.5,19.7,46.1,36.8,3.7,High Risk: Rural Minority Communities
mathews county,virginia,15.7,33.4,84,360900,2.11,2.6,28.4,7,46972,99.3,20.3,49.1,12.7,2.8,Medium Risk: Older White Homeowner Communities
martinsville city,virginia,26.8,16.7,55.4,98400,2.32,12.2,22.1,9.8,30603,1230.8,19.7,43.5,57.7,8.6,High Risk: Rural Minority Communities
manassas city,virginia,26.9,10.6,71.5,449900,3.02,50,32.7,21.4,44656,4345.4,8.9,37.5,56.6,43.9,Extreme Risk: Hispanic Immigrant Communities
manassas park city,virginia,21.1,10.9,66.5,395900,3.23,55.5,26.9,14.7,44563,5675.3,10.9,32,33,48.1,Extreme Risk: Hispanic Immigrant Communities
madison county,virginia,19.7,24.6,77.8,370300,2.51,5.3,27,10.9,40341,43.2,13.6,44.3,12.8,4.6,Medium Risk: Older White Homeowner Communities
lynchburg city,virginia,19.5,14.6,48.9,229800,2.39,7.8,38.5,7.5,29937,1613.2,12.7,34.1,33.9,5.3,Low Risk: Educated Urban Communities
lunenburg county,virginia,19.3,24.3,71.5,150100,2.31,4.9,11.6,10.8,27603,27.6,21.2,43.6,36.6,7,High Risk: Rural Minority Communities
louisa county,virginia,19.8,21.9,82.2,315300,2.56,6.9,29.7,8.4,44158,75.9,15.3,41.7,18.4,4.6,Medium Risk: Older White Homeowner Communities
loudoun county,virginia,25.6,11.9,77.9,743800,3.02,34.9,64.6,5.2,71986,816.2,6.8,37.5,37.2,14.4,Low Risk: Educated Urban Communities
lexington city,virginia,7.3,16.9,53.8,275200,1.97,10.7,50.7,6.4,31955,2929.2,10.8,24.2,17.3,6.3,Low Risk: Educated Urban Communities
lee county,virginia,18.3,24,73,98900,2.38,2.2,14.1,8.9,24828,50.9,29.5,42.3,6.5,2.6,Medium Risk: Older White Homeowner Communities
lancaster county,virginia,14.9,39.1,81.5,327000,1.87,3.4,41.3,10.3,51443,81.9,16.7,54,29.7,2.3,Medium Risk: Older White Homeowner Communities
king and queen county,virginia,17.3,25.2,75.7,231600,2.23,1.4,18.6,9.8,37430,21,16.3,42.5,30.8,3.6,Medium Risk: Older White Homeowner Communities
king william county,virginia,22.2,17.6,88.9,315700,2.52,2.2,23,6.7,39260,65,12.6,39.8,20.9,3.7,Medium Risk: Older White Homeowner Communities
king george county,virginia,23.9,15.1,76.2,428300,2.73,5.7,34.7,6.5,49659,148.8,10.4,39,23.9,7.5,Low Risk: Educated Urban Communities
james city county,virginia,19.4,27.9,76.7,447200,2.49,7.8,51,5.6,54983,549.9,14.4,47.3,21.8,7.6,Low Risk: Educated Urban Communities
isle of wight county,virginia,21.1,21.2,80.1,356500,2.52,4.2,30.8,6.3,47015,122.3,14.3,42.3,28.1,4.8,Low Risk: Educated Urban Communities
hopewell city,virginia,25.2,15.9,57.9,181600,2.46,8.6,13.7,7.9,28711,2224.6,17.2,41.1,53.5,10,High Risk: Rural Minority Communities
highland county,virginia,15.3,40.2,88.9,200000,2.29,1.7,30.8,7.5,34453,5.4,19.2,55.5,2.8,1.6,Medium Risk: Older White Homeowner Communities
henry county,virginia,18.8,25.7,75.2,134800,2.33,6.4,15.5,8.3,30578,133.2,22.7,44.5,26.2,7.6,Medium Risk: Older White Homeowner Communities
henrico county,virginia,21.3,17.8,64.5,359200,2.42,16.4,46.5,7.6,51931,1431,11.4,39.1,44.5,7.4,Low Risk: Educated Urban Communities
harrisonburg city,virginia,17.9,10.7,39.5,299100,2.54,28.4,37.5,12.9,28857,2988.3,10.3,28.6,19.4,24.6,Low Risk: Educated Urban Communities
hanover county,virginia,21.2,20.2,82.1,400400,2.59,4.7,42.7,5.6,53490,235.2,11.5,41.4,15.4,4.4,Low Risk: Educated Urban Communities
hampton city,virginia,21.5,16.7,56.9,245700,2.3,8.3,28.5,8.4,37706,2665.1,16.3,38.2,63.3,6.9,High Risk: Rural Minority Communities
halifax county,virginia,20,26.5,74.6,155700,2.41,3.9,19.7,8.9,28215,41.6,21.1,46.5,38.5,2.9,High Risk: Rural Minority Communities
greensville county,virginia,15.7,16.8,66.3,159400,2.52,5.5,14.7,7,20606,38.6,16.4,32.5,62.7,3.1,High Risk: Rural Minority Communities
greene county,virginia,22.3,20.3,83.4,343300,2.61,9.1,31.5,9,43879,131.8,13.8,42.6,13.9,8.4,Low Risk: Educated Urban Communities
grayson county,virginia,16.1,26.4,80.4,150100,2.25,4.2,15.5,9.3,31205,34.7,20.1,42.5,8.8,4.6,Medium Risk: Older White Homeowner Communities
goochland county,virginia,15.8,28,84.9,500600,2.46,5.9,45.8,4.4,67746,87.7,11.4,43.8,17.8,4.1,Low Risk: Educated Urban Communities
gloucester county,virginia,19.9,22.5,80.4,331000,2.57,3.2,25.3,7.3,41316,177.7,17.2,42.4,12.6,4.7,Medium Risk: Older White Homeowner Communities
giles county,virginia,19.6,22.2,78.9,151100,2.45,3.4,17.6,8.2,34766,47,13.8,41.8,4.2,2,Medium Risk: Older White Homeowner Communities
galax city,virginia,26.8,17.4,56.3,141300,2.34,10,19.1,9.9,29667,815.9,14,44.2,12.3,18,Low Risk: Educated Urban Communities
fredericksburg city,virginia,21.2,11.4,39.7,483700,2.27,18.9,46.1,8.6,47502,2677.7,9.6,32.6,43.1,12.6,Low Risk: Educated Urban Communities
frederick county,virginia,22.1,19.7,79.3,386000,2.64,11.9,31.9,8,47711,221.3,11.7,41.8,11.8,13.9,Low Risk: Educated Urban Communities
franklin city,virginia,27,18.6,53.9,256600,2.35,1.7,27.3,3.5,31433,988.3,17.4,45.6,61.9,3.2,High Risk: Rural Minority Communities
franklin county,virginia,18.3,25.7,78.5,240400,2.34,3.1,25.1,8,39903,78.9,15.2,44,11.2,4.1,Medium Risk: Older White Homeowner Communities
fluvanna county,virginia,18.9,22.8,88.7,314100,2.59,4.2,37.3,5.7,44367,94.9,11.1,41.7,19.6,5,Low Risk: Educated Urban Communities
floyd county,virginia,18.5,25.4,83.9,225400,2.34,3.5,24.4,7.7,37791,40.6,13.3,43.9,5,3,Medium Risk: Older White Homeowner Communities
fauquier county,virginia,23,18.2,78.8,573700,2.78,12.1,41.7,7.5,57164,112.6,9.6,41.2,13.9,13.8,Low Risk: Educated Urban Communities
falls church city,virginia,23.6,16.4,52.5,1055600,2.32,21.1,80.5,4.1,88790,7164.2,8.3,40,21.8,10.8,Low Risk: Educated Urban Communities
fairfax city,virginia,24.8,14.1,69.9,722600,2.68,38.4,62.4,9.5,63647,3869.6,7.5,38.9,47.2,18.9,Low Risk: Educated Urban Communities
fairfax county,virginia,22.2,15.9,68.6,732800,2.75,39,65,7,71828,2941.8,7.8,38.1,37.4,18,Low Risk: Educated Urban Communities
essex county,virginia,18,25.5,71.7,238100,2.36,6.7,16.6,10.1,37139,41.2,16,43.5,42.7,5.1,High Risk: Rural Minority Communities
emporia city,virginia,27.6,18.2,38.1,148500,2.48,6.1,16,5.6,28969,835.2,27.3,45.8,80.4,7.9,High Risk: Rural Minority Communities
dinwiddie county,virginia,19.3,20,79.6,257800,2.58,5.1,19.4,7.3,37632,55.5,14.9,39.3,34.5,4.9,High Risk: Rural Minority Communities
dickenson county,virginia,19.3,25.1,76.1,102700,2.24,0.8,10.1,8.7,26181,42.7,37.7,44.4,2.2,0.9,Medium Risk: Older White Homeowner Communities
danville city,virginia,22.6,21.1,47.8,119100,2.13,4.9,19.6,9.9,28824,995.2,18.7,43.7,60.2,5.6,High Risk: Rural Minority Communities
cumberland county,virginia,19.9,23.7,75.9,239300,2.44,2.5,20.9,7.2,37339,32.5,15.3,43.6,32.6,3.3,Medium Risk: Older White Homeowner Communities
culpeper county,virginia,24.8,17.5,75,409200,2.79,14.8,27.3,9.5,42359,138.6,11.8,42.3,20.5,17.1,Low Risk: Educated Urban Communities
craig county,virginia,16.2,26.4,83.7,189000,2.79,1.9,19.2,8,34638,14.9,13.7,42.6,3.2,1.6,Medium Risk: Older White Homeowner Communities
covington city,virginia,23,19.8,70.1,83500,2.17,6.2,9.5,8.7,24761,1049,13.1,42.8,20.3,3.6,Medium Risk: Older White Homeowner Communities
colonial heights city,virginia,24.6,18.3,68.1,246600,2.41,9.2,28,9.2,37650,2416.5,16.7,42.9,33.8,8.3,Low Risk: Educated Urban Communities
clarke county,virginia,19.3,23.7,81.5,550100,2.53,9.9,39.8,7.2,57955,84,12.5,43,9.9,9.3,Low Risk: Educated Urban Communities
chesterfield county,virginia,23.3,16.9,76.7,366000,2.66,14,43.8,7.1,48518,860.8,12.3,40.2,34,12.6,Low Risk: Educated Urban Communities
chesapeake city,virginia,23.7,15.7,74.4,378400,2.65,8.4,36.9,6.1,44985,736.9,12.5,39.4,40,8.2,Low Risk: Educated Urban Communities
charlottesville city,virginia,17.1,14.5,44.2,486700,2.14,14.9,62.5,7.7,51540,4544,9.2,31.6,29,7.1,Low Risk: Educated Urban Communities
charlotte county,virginia,21.7,24.1,74.7,144100,2.4,2.1,20,9.5,33110,24.3,23.1,45.8,29.2,3,Medium Risk: Older White Homeowner Communities
charles city county,virginia,13.3,28.4,86.3,241400,2.28,2.2,17.3,9.6,44626,37,19.3,41.7,52.6,2.3,High Risk: Rural Minority Communities
carroll county,virginia,17.2,27.5,77.1,156500,2.3,4,16.9,10.2,31609,61.4,17.5,44.7,3.6,4.6,Medium Risk: Older White Homeowner Communities
caroline county,virginia,22.6,17.6,82.3,307700,2.6,7.4,21.8,7.8,40262,58.6,13.3,40.2,33.1,9,High Risk: Rural Minority Communities
campbell county,virginia,18.8,22.3,74.9,211600,2.45,4.7,26.1,7.6,34966,110.7,15.2,41.1,19.5,3.8,Medium Risk: Older White Homeowner Communities
buena vista city,virginia,22,18.8,56.5,156200,2.38,1.1,23.3,5.3,25609,1031.5,18.5,40.8,15.3,0.2,Low Risk: Educated Urban Communities
buckingham county,virginia,17.4,21.6,77.3,173400,2.36,4.7,14.5,9.8,30121,29,19.1,39,35.3,2.8,High Risk: Rural Minority Communities
buchanan county,virginia,17.1,25.1,83.1,94900,2.41,2.9,11.5,10.1,23508,40.5,35.2,42.2,6.3,1.3,Medium Risk: Older White Homeowner Communities
brunswick county,virginia,15.7,23.5,74.4,142700,2.12,4.2,16.6,10.3,29934,28,15.6,39.2,56,3.2,High Risk: Rural Minority Communities
bristol city,virginia,19.6,23.7,63.6,184100,2.29,3.6,24.8,14.4,31284,1337.8,21.1,43.3,14.9,2.8,Medium Risk: Older White Homeowner Communities
botetourt county,virginia,18.1,25.4,85.5,289200,2.54,2.2,28.5,5.7,41217,62.1,11.3,43.5,6.6,2.7,Medium Risk: Older White Homeowner Communities
bland county,virginia,14,25.9,86.5,152100,2.27,1.6,18.4,5.7,30833,17.5,16.7,39.9,6.2,1.4,Medium Risk: Older White Homeowner Communities
bedford county,virginia,19.2,24.6,84.7,297400,2.43,3.4,33.7,7.9,42461,104.5,13,43.8,11.3,3,Medium Risk: Older White Homeowner Communities
bath county,virginia,17,30.5,71.3,206700,2.16,4.2,16.7,6.4,38177,8,14.5,47.5,6.4,2.6,Medium Risk: Older White Homeowner Communities
augusta county,virginia,17.6,23.7,80.2,306100,2.42,4.4,25.1,7.2,40342,80.1,15.2,41.3,8.4,4.5,Medium Risk: Older White Homeowner Communities
arlington county,virginia,17.7,12.5,41.3,895000,2.08,29.4,77.1,4.6,90786,9179.6,6.7,30.2,27.6,16.3,Low Risk: Educated Urban Communities
appomattox county,virginia,21.9,21.8,75.8,207600,2.49,1,19.2,8.7,32522,48.2,13.9,43.7,20.7,2.7,Medium Risk: Older White Homeowner Communities
amherst county,virginia,19.7,23.2,80.8,212400,2.4,2.7,24.7,7.5,35580,66.1,16,42.9,23.3,3.2,Medium Risk: Older White Homeowner Communities
amelia county,virginia,20.6,22.2,82.5,282400,2.46,3,18.6,9.8,35492,37.3,17.1,42.8,22.7,4.4,Medium Risk: Older White Homeowner Communities
alleghany county,virginia,16.9,27.4,82.3,125800,2.27,1.5,14.6,7.5,33863,34.1,19.2,44.3,7.9,1.8,Medium Risk: Older White Homeowner Communities
alexandria city,virginia,17.8,13.7,42.1,735100,2.04,31.1,66.2,7.9,79474,10677.4,7.2,31.5,34.9,18.6,Low Risk: Educated Urban Communities
albemarle county,virginia,19.1,21.4,65.9,495400,2.33,14.4,61.1,7,59653,156,9.8,40.5,19.4,7.9,Low Risk: Educated Urban Communities
accomack county,virginia,19.8,27.2,71.4,204300,2.22,13.8,21.7,11.8,34132,74.4,16.3,47,31.1,11.7,High Risk: Rural Minority Communities
windsor county,vermont,17.1,26.9,74.8,296400,2.26,4,42.9,4.9,48626,59.6,15.5,44,4.7,2.4,Medium Risk: Older White Homeowner Communities
windham county,vermont,16.3,27.2,73.9,279600,2.23,3.7,44,5.2,45078,58.4,15.8,43.5,6,3.3,Medium Risk: Older White Homeowner Communities
washington county,vermont,17.3,23,73.7,315000,2.26,4,48.1,4.1,47977,87.1,14.2,40.3,4.9,2.9,Low Risk: Educated Urban Communities
rutland county,vermont,17.1,26.2,75.1,229400,2.31,4.2,35.3,4.9,40823,65.2,15.5,43.3,3.9,2.4,Medium Risk: Older White Homeowner Communities
orleans county,vermont,19.1,24.6,79.7,223400,2.22,5.9,30.5,5.2,40041,39.4,17.2,43.7,4.5,2.1,Medium Risk: Older White Homeowner Communities
orange county,vermont,17.5,25,83.2,271300,2.29,2.6,38.4,5.3,43536,42.6,16.1,42.5,3.6,2,Medium Risk: Older White Homeowner Communities
