county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
lyon county,iowa,27.1,19.2,83.3,215600,2.7,2.7,20.8,4.8,33727,20.3,11.9,46.3,4.1,4.5,Medium Risk: Older White Homeowner Communities
madison county,iowa,24.5,18.2,81.3,236900,2.5,4.1,25.5,4.8,41878,29.5,9.4,42.7,3.1,2.4,Medium Risk: Older White Homeowner Communities
mahaska county,iowa,23,20,67.8,140900,2.4,2.5,23,5.6,35035,38.9,13.5,43,6.3,2.7,Medium Risk: Older White Homeowner Communities
marion county,iowa,22.6,20.1,77.7,211100,2.4,2.9,33.1,4.1,40540,60.3,13.4,42.7,4.4,2.4,Medium Risk: Older White Homeowner Communities
marshall county,iowa,25.1,18.4,73.3,134100,2.5,23.8,21.4,8.1,32737,70.1,12.2,43.5,11.5,26.1,Medium Risk: Older White Homeowner Communities
mills county,iowa,22.6,21.1,84.2,228700,2.6,1.7,32,4.2,43081,33.1,13.6,43.7,3.8,4.4,Medium Risk: Older White Homeowner Communities
mitchell county,iowa,23.8,22.3,80,164100,2.3,6.6,22.7,7.2,38824,22.5,10.3,46.1,3.7,3.3,Medium Risk: Older White Homeowner Communities
monona county,iowa,21.4,25.1,76.4,122600,2.2,2,18.7,5.9,34565,12.6,13.8,46.5,4.9,3.1,Medium Risk: Older White Homeowner Communities
monroe county,iowa,22.8,21.2,83.8,135900,2.5,2.4,20,5.3,35430,17.5,15.5,44,3.5,2.4,Medium Risk: Older White Homeowner Communities
montgomery county,iowa,22.1,23.4,71.6,109900,2.2,1.9,18.7,5.8,37388,24.4,16.7,45.5,3.7,4.5,Medium Risk: Older White Homeowner Communities
muscatine county,iowa,23.1,19.2,74.9,172400,2.5,15,22.7,6.2,35228,98.8,13.4,42.3,7.5,19.7,Medium Risk: Older White Homeowner Communities
o'brien county,iowa,24.5,21.5,76.1,173100,2.4,7.6,22,6.9,35198,24.7,14.6,46,6.2,8.5,Medium Risk: Older White Homeowner Communities
osceola county,iowa,21.7,24.3,78,123800,2.3,10.9,15.4,7.9,37142,15.5,12.5,46,5.6,11.5,Medium Risk: Older White Homeowner Communities
page county,iowa,17.9,24.8,70,120000,2.3,2.7,18.8,5.3,32567,28.4,16.5,42.7,6.8,3.6,Medium Risk: Older White Homeowner Communities
palo alto county,iowa,22.6,23,75.7,119300,2.3,3.5,20.5,5.5,35518,16,13.8,45.6,5.1,4.1,Medium Risk: Older White Homeowner Communities
plymouth county,iowa,24.6,20.3,73.7,218600,2.5,7.6,23.9,5.8,42241,29.8,11.8,44.9,6.8,7.1,Medium Risk: Older White Homeowner Communities
